Rang | Titel | Preis | Verkäufe
1 | Langenscheidt Deutsch - alles drin! Wortschatz und Grammatik - nachs... | 14,95 € | 1036
2 | Grammatik aktiv A1-B1 - Übungsgrammatik Deutsch als Fre... | 22,99 € | 598
3 | Mit Erfolg zum Deutsch-Test für Zuwanderer A2-B1 (DTZ) Übungs- u... | 21 € | 574
4 | Mit Erfolg zum Deutsch-Test für Zuwanderer A2-B1 (DTZ) Übungs- u... | 21 € | 574
5 | Lies mal - Die Hefte Band 1 und Band 2 im Paket (Ente und Frosch) Vom ... | 5,60 € | 502
6 | PONS Verbtabellen Plus Deutsch als Fremdsprache Vollständig konjugie... | 9,95 € | 457
7 | Almani Deutsche Grammatik für Araber | 20 € | 436
8 | Langenscheidt Wie heißt das? - Deutsch als Fremdsprache Die 1.00... | 7,95 € | 384
9 | Prüfungstraining Zertifikat Deutsch / telc Deutsch B1 / Lösungen und Au... | 22,99 € | 281
10 | Meine erste Bilderwelt - Erste Wörter (Babybücher) 6 Mini-Pappe... | 6,95 € | 274
11 | Prüfungstraining DaF. Deutsch-Test für Zuwanderer Deutsch Test für Zu... | 22,99 € | 255
12 | Grammatik aktiv B2/C1 Verstehen, Üben, Sprechen - Übungsgrammati... | 22,99 € | 234
13 | Rechtschreiben Band 1 (mit Silbengliederung) Das Selbstlernhe... | 6,20 € | 188
14 | Rechtschreiben Band 2 Das Selbstlernheft | 6,90 € | 125
15 | Mein Übungsheft Rechnen lernen 1. Klasse Mathe-Aufgaben mit Lösung... | 7,90 € | 115
16 | Einfach schreiben! A2-B1. Übungsbuch | 13,95 € | 111
17 | Bist du sauer auf mich? Wie du aufhörst, anderen gefallen zu wolle... | 18 € | 109
18 | Prüfung Express - Deutsch-Test für Zuwanderer A2-B1 Neuausgabe.De... | 17,50 € | 102
19 | Jeden Tag einen Schritt Wie du täglich erfolgreicher wirst! Die Erfol... | 25 € | 89
20 | Werde übernatürlich Wie gewöhnliche Menschen das Ungew... | 24,95 € | 84
21 | Langenscheidt Deutsch in 30 Tagen - Sprachkurs mit Buch und Audio-CD... | 20 € | 82
22 | Das magische Rauhnacht-Orakel 50 zauberhafte Karten | 7,99 € | 80
23 | Aufwachen - Dein Leben wartet Die erstaunliche Macht der Gefühle | 13 € | 80
24 | MiniMax 2. Förderheft (Teil A und Teil B) Klasse 2 | 6,25 € | 79
25 | Die 1%-Methode - Minimale Veränderung, maximale Wirkung Mi... | 17 € | 74
26 | Grammatik 3. Klasse | 9,90 € | 69
27 | Think and Grow Rich - Deutsche Ausgabe Die ungekürzte und unver... | 14,99 € | 67
28 | Aufsatz Deutsch 4. Klasse | 9,90 € | 59
29 | Mein sprechendes Soundbuch - Erste Wörter 50 Wörter & Geräusche | 18 € | 55
30 | Prüfung Pflegefachperson - mündlich und praktisch Mit original... | 29 € | 55
31 | Illustrierter Sprachführer Persisch-Deutsch. Ausgangssprach... | 7,99 € | 50
32 | Klett Sicher durch die 5. Klasse - Deutsch, Mathematik, Englisch Das... | 12,95 € | 50
33 | PONS Bildwörterbuch Deutsch als Fremdsprache 8.000 Wörter und W... | 14,95 € | 46
34 | Hör mal rein, wer kann das sein? - Lieblingstiere Streicheln und hören | 12,99 € | 44
35 | Lies mal - Die Hefte Band 7 und Band 8 im Paket (Eule und Eichhörnchen)... | 5,60 € | 43
